Company\Name,,,"空运/KG
CNY/CAD","空运首重
KG",空运续重,"时效
(天数）",最近起运日期,最近到货日期,运输天数,取货地址,备注
公司名,项目名,,,,,,,,,,
铭创优,空普,快线,¥189,0.5,49,5-7,,,,门到门,包税/免费合包
,空普,慢线,¥119,0.5,39,7-12,,,,门到门,
,空敏,慢线,¥139,0.5,42,7-12,,,,门到门,
速比迪,空普,,¥96,0.5,0.1,3-5,,,,,
,空敏,,¥112,0.5,0.5,14,,,,,
远洋通-渥太华UPS,空敏,,¥110,,,,,,,,
万象空运,空普,快线,$14,0.2,6.99/0.1kg,2,,,,,长×宽×高/5000
,空普,服装快线,$12,0.2,5.99/0.1kg,2,,,,,
,空敏,,$16,0.2,7.99/0.1kg,2-5,,,,,万象美驿小程序
